id,nombre,total,nacidos_en_espana,en_la_misma_comunidad_autonoma,misma_comunidad_autonoma_misma_provincia,misma_comunidad_autonoma_misma_provincia_mismo_municipio,misma_comunidad_autonoma_misma_provincia_distinto_municipio,misma_comunidad_autonoma_distinta_provincia,en_distinta_comunidad_autonoma,nacidos_en_el_extranjero
17062,"Escala, L'",10417,6885,5566,4228,2765,1463,1338,1319,3532
17063,Espinelves,206,197,186,72,48,24,114,11,9
17064,Espolla,425,363,321,253,135,118,68,42,62
17065,Esponellà,433,405,372,305,159,146,67,33,28
17005,"Far d'Empordà, El",576,539,475,438,138,300,37,64,37
17066,Figueres,46381,32382,26047,22873,17451,5422,3174,6335,13999
17067,Flaçà,1081,851,767,694,325,369,73,84,230
17068,Foixà,305,280,267,212,106,106,55,13,25
17069,Fontanals de Cerdanya,455,414,366,189,96,93,177,48,41
17070,Fontanilles,138,120,115,100,55,45,15,5,18
17071,Fontcoberta,1474,1401,1304,1180,365,815,124,97,73
17902,Forallac,1713,1551,1401,1196,506,690,205,150,162
17073,Fornells de la Selva,2649,2508,2310,2004,594,1410,306,198,141
17074,Fortià,732,627,531,475,185,290,56,96,105
17075,Garrigàs,439,395,374,319,108,211,55,21,44
17076,Garrigoles,175,156,150,102,55,47,48,6,19
17077,Garriguella,840,666,594,488,268,220,106,72,174
17078,Ger,429,391,366,205,131,74,161,25,38
17079,Girona,100266,77722,64829,54771,39866,14905,10058,12893,22544
17080,Gombrèn,186,169,155,101,70,31,54,14,17
17081,Gualta,392,301,282,226,118,108,56,19,91
17082,Guils de Cerdanya,529,462,412,214,94,120,198,50,67
17083,Hostalric,4139,3608,3003,1759,1187,572,1244,605,531
17084,Isòvol,278,263,246,107,70,37,139,17,15
17085,Jafre,390,338,322,264,131,133,58,16,52
17086,"Jonquera, La",3233,1926,1405,1279,891,388,126,521,1307
17087,Juià,335,298,274,234,74,160,40,24,37
17088,Lladó,787,707,667,585,290,295,82,40,80
17089,Llagostera,8297,6849,5898,4779,2776,2003,1119,951,1448
17090,Llambilles,693,661,612,553,166,387,59,49,32
17091,Llanars,514,466,449,307,185,122,142,17,48
17092,Llançà,4868,4052,3251,2588,1638,950,663,801,816
17093,Llers,1239,1087,949,848,277,571,101,138,152
17094,Llívia,1428,1190,1042,518,282,236,524,148,238
17095,Lloret de Mar,37350,22891,16108,11189,8014,3175,4919,6783,14459
17096,"Llosses, Les",219,202,193,89,53,36,104,9,17
17102,Maçanet de Cabrenys,681,603,536,428,288,140,108,67,78
17103,Maçanet de la Selva,6919,6061,4761,2309,1444,865,2452,1300,858
17097,Madremanya,282,254,243,196,87,109,47,11,28
17098,Maià de Montcal,413,357,330,249,95,154,81,27,56
17100,Masarac,272,226,216,180,90,90,36,10,46
17101,Massanes,730,670,572,322,188,134,250,98,60
17099,Meranges,98,89,86,44,35,9,42,3,9
17105,Mieres,312,283,260,180,100,80,80,23,29
17106,Mollet de Peralada,190,169,151,133,66,67,18,18,21
17107,Molló,328,306,295,214,143,71,81,11,22
17109,Montagut i Oix,899,824,775,659,350,309,116,49,75
17110,Mont,1691,1501,1197,1069,436,633,128,304,190
17111,Navata,1313,1124,1045,844,337,507,201,79,189
17112,Ogassa,226,218,197,148,96,52,49,21,8
17114,Olot,34486,26744,23323,20648,14455,6193,2675,3421,7742
17115,Ordis,382,336,309,273,139,134,36,27,46
17116,Osor,416,384,359,276,162,114,83,25,32
17117,Palafrugell,22860,17213,13967,11993,8880,3113,1974,3246,5647
17118,Palamós,17898,14711,11701,9353,6535,2818,2348,3010,3187
17119,Palau de Santa Eulàlia,95,87,82,49,19,30,33,5,8
17121,Palau,295,252,245,208,109,99,37,7,43
17120,Palau,1439,1019,900,767,356,411,133,119,420
17123,Palol de Revardit,467,431,398,361,135,226,37,33,36
